City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Gustavo Diaz Ordaz,MX,2022-06-13 22:35:54,26.2333,-98.5833,91.29,64,98,4.0
68,Lesnikovo,RU,2022-06-13 22:35:54,55.2822,65.3175,52.0,96,100,5.95
69,Te Anau,NZ,2022-06-13 22:35:55,-45.4167,167.7167,41.14,81,87,12.35
70,Lazaro Cardenas,MX,2022-06-13 22:34:56,17.9583,-102.2,84.79,68,78,12.48
71,Chuguyevka,RU,2022-06-13 22:35:56,44.1653,133.8633,63.84,54,95,2.21
72,Nuuk,GL,2022-06-13 22:35:56,64.1835,-51.7216,38.01,75,75,9.22
73,Port Keats,AU,2022-06-13 22:35:57,-14.25,129.55,65.8,29,15,10.49
74,Johvi,EE,2022-06-13 22:35:57,59.3592,27.4211,50.76,91,73,0.58
75,Hithadhoo,MV,2022-06-13 22:35:57,-0.6,73.0833,83.14,72,55,7.9
76,Qaanaaq,GL,2022-06-13 22:35:58,77.484,-69.3632,28.94,77,43,2.82
77,Pingyin,CN,2022-06-13 22:35:58,36.2831,116.4453,71.38,60,95,4.09
78,Vaini,TO,2022-06-13 22:35:59,-21.2,-175.2,80.76,78,20,5.75
79,Haines Junction,CA,2022-06-13 22:36:00,60.7522,-137.5108,57.15,58,100,2.3
80,Cape Town,ZA,2022-06-13 22:31:22,-33.9258,18.4232,55.27,92,100,12.66
81,Santa Rosa,PH,2022-06-13 22:31:10,14.3122,121.1114,82.02,90,99,4.34
82,Ribeira Grande,PT,2022-06-13 22:36:01,38.5167,-28.7,63.41,80,42,11.65
83,Guayaramerin,BO,2022-06-13 22:36:02,-10.8368,-65.3614,66.25,66,45,3.49
84,Saint-Philippe,RE,2022-06-13 22:36:03,-21.3585,55.7679,67.59,77,53,14.36
85,Upernavik,GL,2022-06-13 22:36:03,72.7868,-56.1549,31.89,82,80,7.31
86,Arraial Do Cabo,BR,2022-06-13 22:36:04,-22.9661,-42.0278,66.06,88,75,19.57
87,Kodiak,US,2022-06-13 22:36:04,57.79,-152.4072,51.31,71,100,6.91
88,Arak,IR,2022-06-13 22:36:05,34.0917,49.6892,68.14,23,0,5.77
89,Mehamn,NO,2022-06-13 22:36:05,71.0357,27.8492,42.75,87,75,4.61
90,Yulara,AU,2022-06-13 22:36:06,-25.2406,130.9889,55.98,40,0,2.06
91,Shuyskoye,RU,2022-06-13 22:36:07,59.3736,41.0305,54.25,98,99,2.21
92,Yar-Sale,RU,2022-06-13 22:37:07,66.8333,70.8333,42.49,81,99,17.11
93,Saskylakh,RU,2022-06-13 22:37:08,71.9167,114.0833,65.86,37,100,3.06
94,Komsomolskiy,UZ,2022-06-13 22:37:10,40.4272,71.7189,66.92,52,1,2.3
95,Yuli,NG,2022-06-13 22:37:10,9.6989,10.2744,80.62,66,89,4.97
96,Kavieng,PG,2022-06-13 22:37:11,-2.5744,150.7967,84.2,69,21,13.98
97,Dingle,PH,2022-06-13 22:37:11,10.9995,122.6711,80.46,81,75,2.37
98,Kruisfontein,ZA,2022-06-13 22:37:11,-34.0033,24.7314,63.88,70,100,4.52
99,Kapaa,US,2022-06-13 22:37:12,22.0752,-159.319,82.38,72,20,14.97
100,Sampit,ID,2022-06-13 22:37:12,-2.5333,112.95,73.04,98,100,1.1
101,Lodwar,KE,2022-06-13 22:33:03,3.1191,35.5973,82.04,44,6,11.39
102,Caravelas,BR,2022-06-13 22:37:15,-17.7125,-39.2481,72.7,72,100,11.18
103,Esperance,AU,2022-06-13 22:37:16,-33.8667,121.9,59.52,74,80,20.94
104,Shingu,JP,2022-06-13 22:37:16,33.7333,135.9833,67.1,97,100,17.6
105,Saint George,US,2022-06-13 22:37:17,37.1041,-113.5841,95.63,15,0,19.57
106,Shajapur,IN,2022-06-13 22:37:17,23.4333,76.2667,82.22,63,100,13.29
107,Chokurdakh,RU,2022-06-13 22:37:18,70.6333,147.9167,68.65,30,0,18.39
108,Flinders,AU,2022-06-13 22:37:19,-34.5833,150.8552,50.38,71,20,2.91
109,Kruszwica,PL,2022-06-13 22:37:20,52.6756,18.3313,53.15,90,7,7.94
110,Grants,US,2022-06-13 22:37:20,35.1473,-107.8514,89.83,9,0,23.02
111,Itamaraca,BR,2022-06-13 22:37:21,-7.7478,-34.8256,80.65,83,7,6.46
112,Pisco,PE,2022-06-13 22:37:21,-13.7,-76.2167,61.02,82,100,4.61
113,Barrow,US,2022-06-13 22:37:22,71.2906,-156.7887,35.62,80,40,17.27
114,Katsuura,JP,2022-06-13 22:37:22,35.1333,140.3,65.79,76,100,14.54
115,Hilo,US,2022-06-13 22:37:23,19.7297,-155.09,88.29,66,40,9.22
116,Mayo,US,2022-06-13 22:37:23,38.8876,-76.5119,91.51,73,20,8.05
117,Chuy,UY,2022-06-13 22:37:24,-33.6971,-53.4616,51.78,92,22,4.65
118,Sao Joao Da Barra,BR,2022-06-13 22:37:24,-21.6403,-41.0511,66.38,75,91,16.49
119,Honiara,SB,2022-06-13 22:37:25,-9.4333,159.95,84.24,70,18,7.76
120,Dikson,RU,2022-06-13 22:37:25,73.5069,80.5464,30.51,87,99,11.77
121,Corozal,CO,2022-06-13 22:35:46,9.3151,-75.2928,77.5,90,58,9.66
122,Kemi,FI,2022-06-13 22:37:26,65.8596,24.8228,46.17,100,27,3.44
123,Butaritari,KI,2022-06-13 22:37:26,3.0707,172.7902,81.34,77,18,13.42
124,Moree,AU,2022-06-13 22:37:27,-29.4667,149.85,50.49,66,0,5.37
125,Tuatapere,NZ,2022-06-13 22:37:27,-46.1333,167.6833,43.25,77,90,20.67
126,Innisfail,AU,2022-06-13 22:37:28,-17.5333,146.0333,67.78,65,0,5.39
127,Mount Isa,AU,2022-06-13 22:37:28,-20.7333,139.5,46.17,66,1,0.0
128,Ginda,IN,2022-06-13 22:37:29,30.6945,78.4932,67.91,40,20,6.96
129,Hofn,IS,2022-06-13 22:37:29,64.2539,-15.2082,49.89,100,100,12.86
130,Tommot,RU,2022-06-13 22:37:30,58.9564,126.2925,62.89,56,64,1.9
