City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,East London,ZA,-33.0153,27.9116,61.84,75,100,8.05,overcast clouds
80,Port Elizabeth,ZA,-33.918,25.5701,60.1,85,83,4.9,broken clouds
81,Atar,MR,20.5169,-13.0499,89.55,33,2,9.01,clear sky
82,Gazli,UZ,40.1333,63.45,85.8,21,0,9.55,clear sky
83,Lorengau,PG,-2.0226,147.2712,83.05,74,75,5.3,broken clouds
84,Ribeira Grande,PT,38.5167,-28.7,65.05,82,97,16.11,overcast clouds
85,Beysehir,TR,37.6773,31.7246,58.66,55,8,2.26,clear sky
86,Snyder,US,32.7179,-100.9176,88.14,25,0,5.75,clear sky
87,Benghazi,LY,32.1167,20.0667,75.13,75,0,8.46,clear sky
88,Bredasdorp,ZA,-34.5322,20.0403,56.89,92,100,8.7,overcast clouds
89,Ambilobe,MG,-13.2,49.05,61.07,79,2,4.85,clear sky
90,Thap Than,TH,15.4606,99.8917,87.85,54,100,3.38,overcast clouds
91,Nosy Varika,MG,-20.5833,48.5333,64.17,88,91,6.42,light rain
92,Mnogovershinnyy,RU,53.9353,139.9242,67.66,68,94,2.77,overcast clouds
93,Keffi,NG,8.8486,7.8736,71.4,96,100,4.21,light rain
94,Sattahip,TH,12.6664,100.9007,80.69,89,40,4.61,thunderstorm with light rain
95,Buenos Aires,AR,-34.6132,-58.3772,46.13,67,75,11.5,broken clouds
96,Chuy,UY,-33.6971,-53.4616,51.85,71,100,10.47,overcast clouds
97,Hilo,US,19.7297,-155.09,83.28,87,100,1.99,overcast clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,69.85,89,0,18.99,clear sky
99,Kruisfontein,ZA,-34.0033,24.7314,57.88,60,88,6.69,overcast clouds
100,Oktyabrskiy,RU,54.4815,53.471,63.9,92,99,0.22,overcast clouds
101,Ponta Delgada,PT,37.7333,-25.6667,64.51,88,40,13.8,light intensity shower rain
102,Soubre,CI,5.7856,-6.6083,72.23,99,99,1.28,light rain
103,New Norfolk,AU,-42.7826,147.0587,60.93,79,100,5.99,moderate rain
104,Chumikan,RU,54.7183,135.315,42.93,97,100,3.09,overcast clouds
105,Kjollefjord,NO,70.9457,27.3465,50.05,71,0,14.97,clear sky
106,Novopokrovka,UA,49.8425,36.5477,53.73,83,91,0.83,overcast clouds
107,Padang,ID,-0.9492,100.3543,80.65,73,99,3.83,overcast clouds
108,Santa Fe,AR,-31.6333,-60.7,48.02,77,100,5.01,overcast clouds
109,Hirna,ET,9.2167,41.1,58.95,90,92,7.56,light rain
110,Hermanus,ZA,-34.4187,19.2345,59.81,86,98,11.65,light rain
111,Yellowknife,CA,62.456,-114.3525,69.57,28,4,8.01,clear sky
112,Bereda,ES,43.2686,-7.5406,56.14,100,98,1.99,overcast clouds
113,Banff,CA,51.1762,-115.5698,59.0,47,22,4.03,few clouds
114,Vao,NC,-22.6667,167.4833,71.47,69,100,14.92,overcast clouds
115,Vostok,RU,46.4856,135.8833,67.73,65,100,5.7,overcast clouds
116,Mareeba,AU,-17.0,145.4333,75.43,60,0,10.25,clear sky
117,Sakakah,SA,29.9697,40.2064,75.34,44,0,7.14,clear sky
118,Arroyo,ES,41.6096,-4.7969,58.14,75,20,4.61,few clouds
119,Miri,MY,4.4148,114.0089,87.17,60,61,2.3,broken clouds
120,Prokopion,GR,38.7333,23.4833,80.02,62,28,3.98,scattered clouds
121,Aberdeen,GB,57.1437,-2.0981,51.55,93,34,2.3,scattered clouds
122,Agirish,RU,61.9247,63.0231,65.14,87,67,5.1,broken clouds
123,San Quintin,MX,30.4833,-115.95,68.4,79,0,9.91,clear sky
124,Vanderhoof,CA,54.0166,-124.0198,53.91,49,70,9.42,broken clouds
125,Ust-Maya,RU,60.4167,134.5333,83.89,41,8,3.15,clear sky
126,Kavieng,PG,-2.5744,150.7967,83.32,72,100,4.32,light rain
127,Sumenep,ID,-7.0167,113.8667,85.05,69,100,12.44,overcast clouds
128,Bengkulu,ID,-3.8004,102.2655,80.94,74,100,0.54,overcast clouds
129,Klaksvik,FO,62.2266,-6.589,50.92,84,99,15.5,overcast clouds
130,Rocha,UY,-34.4833,-54.3333,46.69,94,100,10.25,light rain
131,Clinton,US,42.587,-82.9199,75.22,68,40,11.5,scattered clouds
132,Nikolskoye,RU,59.7035,30.7861,55.8,69,48,2.8,scattered clouds
133,Namatanai,PG,-3.6667,152.4333,84.63,70,95,5.61,light rain
134,Sitka,US,57.0531,-135.33,55.29,82,100,6.91,overcast clouds
135,Quatre Cocos,MU,-20.2078,57.7625,69.31,69,11,13.38,few clouds
136,San Juan De Los Morros,VE,9.9115,-67.3538,71.74,90,100,1.9,overcast clouds
137,Pathein,MM,16.7833,94.7333,77.68,81,100,4.76,overcast clouds
138,Yar-Sale,RU,66.8333,70.8333,73.98,55,6,6.31,light rain
139,Pimenta Bueno,BR,-11.6725,-61.1936,69.12,66,100,3.29,overcast clouds
140,Mar Del Plata,AR,-38.0023,-57.5575,40.95,72,40,5.75,scattered clouds
141,Sola,VU,-13.8833,167.55,80.24,79,97,16.69,overcast clouds
142,Melilla,ES,35.2937,-2.9383,68.38,64,0,4.61,clear sky
143,North Bend,US,43.4065,-124.2243,65.91,86,40,18.41,scattered clouds
144,Honiara,SB,-9.4333,159.95,85.86,66,49,5.19,scattered clouds
145,Lavrentiya,RU,65.5833,-171.0,47.39,78,85,10.76,overcast clouds
146,Corsicana,US,32.0954,-96.4689,88.97,53,0,3.44,clear sky
147,Altamira,BR,-3.2033,-52.2064,71.46,98,44,2.42,scattered clouds
148,Abapo,BO,-18.8333,-63.4667,60.37,81,34,2.57,scattered clouds
149,Grand-Santi,GF,4.25,-54.3833,72.05,99,68,2.13,broken clouds
150,Vardo,NO,70.3705,31.1107,46.38,81,97,4.61,overcast clouds
151,Wau,SS,7.7029,27.9953,71.69,81,55,5.21,broken clouds
152,Tungor,RU,53.3808,142.9564,70.16,60,95,16.93,overcast clouds
153,Bilma,NE,18.6853,12.9164,86.99,16,4,2.71,clear sky
154,Lena,ES,43.1,-5.7333,48.13,97,100,1.81,overcast clouds
155,Hamilton,US,39.1834,-84.5333,75.29,91,100,5.12,overcast clouds
156,Ikryanoye,RU,46.0932,47.7308,71.58,62,100,12.91,overcast clouds
157,Port-Gentil,GA,-0.7193,8.7815,72.09,80,86,11.16,overcast clouds
158,Lebu,CL,-37.6167,-73.65,48.2,89,100,8.5,overcast clouds
159,Sebrovo,RU,50.0981,43.2976,65.82,84,73,4.05,broken clouds
160,Bosaso,SO,11.2842,49.1816,88.81,44,100,17.49,overcast clouds
161,Nyurba,RU,63.2842,118.3319,82.38,35,86,2.89,overcast clouds
162,Miraflores,MX,19.2167,-98.8083,59.04,87,100,3.67,overcast clouds
163,Mission,US,26.2159,-98.3253,85.21,63,0,11.5,clear sky
164,Chapais,CA,49.7834,-74.8492,60.58,82,58,7.9,broken clouds
165,Ayan,RU,56.45,138.1667,47.82,95,100,10.42,overcast clouds
166,Provideniya,RU,64.3833,-173.3,41.36,100,100,15.99,mist
167,Mackay,AU,-21.15,149.2,76.68,71,7,17.18,clear sky
168,Grindavik,IS,63.8424,-22.4338,43.27,87,75,18.41,broken clouds
169,Saskylakh,RU,71.9167,114.0833,53.06,41,79,7.78,broken clouds
170,Oksfjord,NO,70.2396,22.3479,51.98,76,99,11.63,overcast clouds
171,Kyren,RU,51.6828,102.1408,73.56,45,4,0.65,clear sky
172,Avera,US,33.194,-82.5271,84.54,33,4,8.46,clear sky
173,Senneterre,CA,48.3835,-77.2328,60.84,83,86,6.6,overcast clouds
174,Severo-Yeniseyskiy,RU,60.3725,93.0408,71.6,33,11,11.21,few clouds
175,Flin Flon,CA,54.7682,-101.865,56.82,89,67,3.04,broken clouds
176,Karasjok,NO,69.4719,25.5112,46.62,77,99,12.21,overcast clouds
177,Thompson,CA,55.7435,-97.8558,55.22,60,87,11.18,overcast clouds
178,Thunder Bay,CA,48.4001,-89.3168,60.17,57,8,6.78,clear sky
179,Kodiak,US,57.79,-152.4072,62.11,67,0,5.75,smoke
180,Coihaique,CL,-45.5752,-72.0662,23.61,86,1,1.14,mist
181,Ulaanbaatar,MN,47.9077,106.8832,64.53,52,20,4.47,few clouds
182,Cabo San Lucas,MX,22.8909,-109.9124,88.9,72,53,9.06,broken clouds
183,Caravelas,BR,-17.7125,-39.2481,71.13,90,4,4.45,clear sky
184,Dubbo,AU,-32.25,148.6167,59.13,63,100,8.05,overcast clouds
185,Chicama,PE,-7.8447,-79.1469,59.54,83,14,6.31,few clouds
186,Praia,CV,14.9215,-23.5087,75.74,88,75,13.8,broken clouds
187,Sudislavl,RU,57.8817,41.7083,54.16,78,0,5.19,clear sky
188,Castro,BR,-24.7911,-50.0119,61.38,81,20,5.61,few clouds
189,Okhotsk,RU,59.3833,143.3,52.2,84,98,6.04,overcast clouds
190,Shenzhen,CN,22.5455,114.0683,88.86,86,14,8.16,few clouds
191,Sibu,MY,2.3,111.8167,81.0,76,100,3.06,overcast clouds
192,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,87,95,8.57,light rain
193,Vilhena,BR,-12.7406,-60.1458,66.99,62,100,3.31,overcast clouds
194,Hovd,MN,48.0056,91.6419,77.2,25,3,3.53,clear sky
195,Bubaque,GW,11.2833,-15.8333,81.63,80,100,11.97,overcast clouds
196,Samfya,ZM,-11.3649,29.5565,52.18,87,0,6.58,clear sky
197,San Cristobal,VE,7.7669,-72.225,65.44,90,8,2.55,clear sky
198,Zeerust,ZA,-25.5369,26.0751,51.12,79,95,13.82,overcast clouds
199,Nome,US,64.5011,-165.4064,44.67,93,100,13.8,light rain
200,Matamoros,MX,25.5333,-103.25,86.11,35,75,10.36,broken clouds
201,Mayo,US,38.8876,-76.5119,71.2,94,100,6.91,mist
202,Denpasar,ID,-8.65,115.2167,83.86,74,75,17.27,broken clouds
203,Paamiut,GL,61.994,-49.6678,37.35,93,10,20.09,clear sky
204,Fuerte Olimpo,PY,-21.0415,-57.8738,72.45,64,44,4.88,scattered clouds
205,Tarki,RU,42.9442,47.4953,71.58,64,20,11.18,few clouds
206,Moron,AR,-34.6534,-58.6198,46.15,68,99,7.2,overcast clouds
207,Sabang,ID,5.8933,95.3214,80.98,79,97,24.2,overcast clouds
208,Alice Springs,AU,-23.7,133.8833,69.22,32,0,12.66,clear sky
209,Ostrovnoy,RU,68.0531,39.5131,50.47,74,100,12.37,overcast clouds
210,Khatanga,RU,71.9667,102.5,56.84,32,87,12.97,overcast clouds
211,Woodway,US,31.506,-97.205,90.1,53,0,6.91,clear sky
212,Barrow,US,71.2906,-156.7887,42.82,87,100,16.11,overcast clouds
213,Warrnambool,AU,-38.3833,142.4833,59.81,68,100,19.8,light rain
214,Quesnel,CA,52.9999,-122.5029,50.95,78,100,3.27,overcast clouds
215,Cidreira,BR,-30.1811,-50.2056,60.89,97,99,4.34,overcast clouds
216,Saint George,US,37.1041,-113.5841,84.79,22,0,3.44,clear sky
217,Sept-Iles,CA,50.2001,-66.3821,56.05,87,95,3.0,overcast clouds
218,Kuliyapitiya,LK,7.4688,80.0401,79.99,83,92,7.36,overcast clouds
219,Tiarei,PF,-17.5333,-149.3333,80.62,73,58,11.25,broken clouds
